CATEGORY	BIBTEXKEY	author	title	year	(title_translation)	publisher	address	pages	booktitle	(booktitle_translation)	editor	journal	volume	number	school	note	url	howpublished	contributor	date_added	comment	correction_notes	checked
incollection	forker2018avar	Forker, Diana	The semantics of evidentiality and epistemic modality in Avar	2018		Brill	Leiden	188--214	The semantics of verbal categories in Nakh-Daghestanian languages		Forker, Diana and Maisak, Timur								Samira Verhees		NOT IN THE FOLDER		Y
article	forker2018b	Forker, Diana	Gender agreement is different	2018				865--894				Linguistics	56	4					Chiara Naccarato	18.08.2021			Y
article	forker2019	Forker, Diana	The impact of language contact on Hinuq: Phonology, morphology, syntax, and lexicon	2019				29--62				Language Typology and Universals	72	2									Y
article	forker2019b	Forker, Diana	Reported speech constructions in Sanzhi Dargwa and their extension to other areas of grammar	2019				171--199				Sprachwissenschaft	44						Samira Verhees				Y
book	forker2020dargwa	Forker, Diana	A grammar of Sanzhi Dargwa	2020		Language Science Press	Berlin										https://langsci-press.org/catalog/book/250						Y
unpublished	forkerdraft2020	Forker, Diana	Avar grammar sketch	2020		Oxford University Press	Oxford		Oxford Handbook of Languages of the Caucasus		Polinsky, Maria												Y
article	friedman1984	Friedman, Victor A.	Status in the Lak verbal system	1984				135--149				Folia Slavica	7	1/2					Samira Verhees				Y
incollection	friedman2007	Friedman, Victor A.	The expression of speaker subjectivity in Lak (Daghestan)	2007		Peeters	Louvain/Paris/Dudley MA	351--376	L'Énonciation médiatisée II		Guentchéva, Zlatka and Landabaru, John												Y
book	gadzhiakhmedov2000	Гаджиахмедов, Нурмагомед Э.	Словоизменительные категории имени и глагола в кумыкском языке	2000	Nominal and verbal inflectional categories in Kumyk	Юпитер	Махачкала																Y
phdthesis	gadzhieva2007	Гаджиева, Марьям Зубайровна	Фонетические и морфологические особенности тукитинского диалекта каратинского языка	2007											Дагестанский государственный педагогический университет				Samira Verhees				Y
unpublished	gadzhimagomedov2019	Гаджимагомедов, М. З.	Анчихский язык	2019	Anchiq											manuscript			Chiara Naccarato	17.12.2021		author name	Y
incollection	ganenkov2008	Ганенков, Дмитрий С.	Морфологическая и семантическая характеристика падежей удинского языка	2008	Morphological and semantic characteristics of Udi	Академия	Москва	11--53	Удинский сборник: грамматика, лексика, история языка	Udi. Grammar. Lexicon. History of the language	Алексеев, Михаил Е. и Майсак, Тимур А. и Ганенков, Дмитрий С. и Ландер, Юрий А.												Y
article	ganenkovetal2009	Ганенков, Дмитрий С. и Майсак, Тимур А. и Мерданова, Солмаз Р.	Дискурсивная анафора в агульском языке	2009		Институт языкознания РАН	Москва												Timofey Mukhin		article?	INCOMPLETE	Y
book	ganieva2002	Ганиева, Фаида А.	Хиналугско-русский словарь	2002	Khinalug-Russian dictionary	ДНЦ РАН	Махачкала												Anastasia Panova	30.08.2021			Y
book	gasanova1971	Гасанова, Саида М.	Очерки даргинской диалектологии	1971	Essays on Dargwa dialectology	Институт истории, языка и литературы им. Г. Цадасы	Махачкала												Anastasia Panova	30.08.2021			Y
book	gaydarovetal2009	Гайдаров, Р. И. и Гюльмагомедов, А. Г. и Мейланов, У. А. и Талибов, Б. Б.	Современный лезгинский язык	2009	Modern Lezgian	Дагестанский научный центр Российской академии наук Институт языка, литературы и искусства им. Гамзата Цадасы	Махачкала												George Moroz	06.08.2021	NOT IN THE FOLDER		Y
book	gimbatov2006	Гимбатов, М. М.	Аварско-русский словарь	2006	Avar-Russian dictionary	ДНЦ РАН	Махачкала												Anastasia Panova			author name	Y
book	griunberg1963	Грюнберг, Александр Л.	Язык североазербайджанских татов	1963	The language of the Northern Azerbaijani Tats	Издательство академии наук СССР	Ленинград												Aigul Zakirova	21.09.21			Y
book	gudava1962	Gudava, Togo E.	Botlixuri ena	1962	The Botlikh language	Mecniereba	Tbilisi																Y
incollection	gudava1967	Гудава, Того Е.	Ботлихский язык	1967	Botlikh	Наука	Москва 	293--306	Языки народов СССР. Том 4. Иберийско-кавказские языки	Languages of the peoples of USSR. Volume 4. Ibero-caucasian languages	Бокарев, Евгений А. и Ломатидзе Кетеван								Chiara Naccarato	05.02.2021			Y
book	gukasyan1974	Гукасян, Ворошил	Удинско-азербайджанско-русский словарь	1974	Udi-Azerbaijani-Russian dictionary	Элм	Баку												George Moroz	29.04.2021			Y
book	harris2002	Harris, Alice C.	Endoclitics and the origins of Udi morphosyntax	2002		Oxford University Press	Oxford												Chiara Naccarato	19.08.2021	NOT IN THE FOLDER		Y
